pais;codigo;continente;ano;expectativa_vida;pib_per_capita;populacao
Kuwait;KWT;Asia;1962;59,1;42150;378203
Laos;LAO;Asia;1962;42;787;2221616
Lebanon;LBN;Asia;1962;65,4;6089;1911960
Lesotho;LSO;Africa;1962;50,4;918;784691
Liberia;LBR;Africa;1962;38,4;3612;1194091
Libya;LBY;Africa;1962;43,8;1788;1535161
Luxembourg;LUX;Europe;1962;68,1;16370;319858
Madagascar;MDG;Africa;1962;44,1;1800;5343120
Malawi;MWI;Africa;1962;35,7;626;3799164
Malaysia;MYS;Asia;1962;58,4;2609;8324221
Mali;MLI;Africa;1962;29,9;827;5494850
Malta;MLT;Europe;1962;68,5;2260;335463
Mauritania;MRT;Africa;1962;46;1019;885944
Mauritius;MUS;Africa;1962;57,3;5144;709824
Mexico;MEX;North America;1962;56,6;4881;38683280
Mongolia;MNG;Asia;1962;47,1;966;1045316
Montenegro;MNE;Europe;1962;66,1;2847;485549
Morocco;MAR;Africa;1962;44,3;2158;12404766
Mozambique;MOZ;Africa;1962;41,8;2232;7060376
Myanmar;MMR;Asia;1962;45;966;22699698
Namibia;NAM;Africa;1962;49,1;5324;613816
Nepal;NPL;Asia;1962;39,2;998;10570725
Netherlands;NLD;Europe;1962;73,2;13770;11803461
New Zealand;NZL;Oceania;1962;71,2;15511;2486311
Nicaragua;NIC;North America;1962;47,6;3521;1901456
Niger;NER;Africa;1962;36,6;1341;3711068
Nigeria;NGA;Africa;1962;37,8;1349;46821856
North Macedonia;MKD;Europe;1962;57,5;3666;1497344
Norway;NOR;Europe;1962;73,5;12347;3639139
Oman;OMN;Asia;1962;38,2;1728;557143
Pakistan;PAK;Asia;1962;46,6;1114;48161844
Palestine;PSE;Asia;1962;50,1;2381;1110236
Panama;PAN;North America;1962;62,2;3647;1196295
Paraguay;PRY;South America;1962;61,1;2499;1989376
Peru;PER;South America;1962;51,3;5230;10792101
Philippines;PHL;Asia;1962;60;2450;30185988
Poland;POL;Europe;1962;67,6;5325;30271926
Portugal;PRT;Europe;1962;64,3;5308;8905438
Puerto Rico;PRI;North America;1962;69,3;6183;2446295
Romania;ROU;Europe;1962;65,3;1776;18770328
Russia;RUS;Europe;1962;68,1;6229;122914608
Rwanda;RWA;Africa;1962;48;1296;3122129
Saint Lucia;LCA;North America;1962;58;1798;93843
Sao Tome and Principe;STP;Africa;1962;45,9;1549;69533
Saudi Arabia;SAU;Asia;1962;47,1;7085;4458521
Senegal;SEN;Africa;1962;39,9;2370;3463528
Serbia;SRB;Europe;1962;64,6;4237;6711537
Seychelles;SYC;Africa;1962;54,8;3174;44990
Sierra Leone;SLE;Africa;1962;34,9;1216;2382920
Singapore;SGP;Asia;1962;66,4;3775;1711060
Slovenia;SVN;Europe;1962;65,8;8027;1627388
South Africa;ZAF;Africa;1962;53,4;5067;17503138
South Korea;KOR;Asia;1962;55,5;1620,490234;27234476
Spain;ESP;Europe;1962;69,6;6083;31052630
Sri Lanka;LKA;Asia;1962;61,7;2067;10267069
Sweden;SWE;Europe;1962;73,4;15093;7582638
Switzerland;CHE;Europe;1962;71,3;17793,97656;5574228
